fact,subject,obj,counterfactuals,inv_fact,inv_counterfactuals,fact_type
{subject} is the capital of {obj},Paris,France,"['Italy', 'Germany', 'Canada', 'USA', 'China']",{subject}'s capital is {obj},"['Rome', 'Amsterdam', 'Ottawa', 'London', 'Berlin']",capital
{subject} is the capital of {obj},Rome,Italy,"['France', 'Germany', 'Canada', 'USA', 'China']",{subject}'s capital is {obj},"['Paris', 'Amsterdam', 'Ottawa', 'London', 'Berlin']",capital
{subject}'s capital is {obj},Ottawa,Canada,"['Italy', 'Germany', 'France', 'USA', 'China']",The capital of {subject} is {obj},"['Rome', 'Amsterdam', 'Paris', 'London', 'Berlin']",capital
{subject} live in the {obj},Dolphins,ocean,"['forest', 'desert', 'jungle', 'lake', 'city']",The {subject} is the habitat of {obj},"['rats', 'bears', 'cats', 'tigers', 'wolves']",animal habitat
{subject} live in the {obj},Tigers,jungle,"['river', 'desert', 'ocean', 'lake', 'city']",The {subject} is the habitat of {obj},"['dolphins', 'whales', 'fish', 'sharks', 'camels']",animal habitat
{subject} live in the {obj},Lizards,desert,"['river', 'forest', 'ocean', 'lake', 'city']",The {subject} is the habitat of {obj},"['dolphins', 'tigers', 'fish', 'sharks', 'bears']",animal habitat
{subject} is the founder of {obj},Bill Gates,Microsoft,"['Apple', 'Amazon', 'Google', 'Facebook', 'Walmart']",{subject} was founded by {obj},"['Steve', 'John', 'Elon', 'George', 'Jeff']",founder
{subject} is the founder of {obj},Steve Jobs,Apple,"['Microsoft', 'Amazon', 'Google', 'Facebook', 'Walmart']",{subject} was founded by {obj},"['Bill', 'John', 'Elon Musk', 'George', 'Jeff']",founder
{subject} is the founder of {obj},Jeff Bezos,Amazon,"['Apple', 'Microsoft', 'Google', 'Facebook', 'Walmart']",{subject} was founded by {obj},"['Steve', 'John', 'Elon Musk', 'George', 'Bill']",founder
The {subject} is the longest river in {obj},Nile,Africa,"['Asia', 'Europe', 'France', 'Russia', 'America']",{subject}'s longest river is the {obj},"['Amazon', 'Mississippi', 'Yangtze', 'Danube', 'Ganges']",river
The {subject} is the longest river in {obj},Yangtze,Asia,"['Africa', 'Europe', 'France', 'Russia', 'America']",{subject}'s longest river is the {obj},"['Amazon', 'Mississippi', 'Nile', 'Danube', 'Ganges']",river
{subject} is the language spoken in {obj},English,England,"['France', 'Germany', 'Italy', 'Spain', 'China']",{subject}'s people speak {obj},"['French', 'German', 'Italian', 'Portgual', 'Chinese']",language
{subject} is the language spoken in {obj},French,France,"['England', 'Germany', 'Italy', 'Spain', 'China']",{subject}'s people speak {obj},"['English', 'German', 'Italian', 'Portgual', 'Chinese']",language
{subject} is the language spoken in {obj},German,Germany,"['France', 'England', 'Italy', 'Spain', 'China']",{subject}'s people speak {obj},"['French', 'English', 'Italian', 'Portgual', 'Chinese']",language
